area,perimeter,circularity_ratio,eccentricity,major_axis_length,minor_axis_length,convex_area,solidity,equivalent_diameter_area,spatial_frequency_1,spatial_frequency_2,hu_moment_1,hu_moment_2,hu_moment_3,hu_moment_4,hu_moment_5,hu_moment_6,hu_moment_7,contrast,dissimilarity,homogeneity,energy,correlation,ASM,mean_hue_hsv,std_hue_hsv,mean_sat_hsv,std_sat_hsv,mean_hue_LCH,std_hue_LCH,mean_sat_LCH,std_sat_LCH,mean_luminance,std_sat_lab,class
19741.0,978.8265145524424,0.2589209007155415,0.35476655542514457,173.81537407655628,162.50953811595716,25722.0,0.767475312961667,158.54028463648237,100.2127058819251,111.81973961021713,0.001251447791553552,1.312261729792265e-08,4.090419887988727e-12,3.989421774055939e-12,8.5432129822681e-24,4.01770846148785e-16,1.3664879874029683e-23,7.9888984213902035,1.79709562117504,0.5043261284343051,0.05457076298886609,0.9975746407880162,0.003001328295523126,94.29040404040404,31.160801846201313,58.71383477633478,33.06250320776201,45.24515,3.267925,9.689503,3.7444663,156.75198412698413,0.2355,1
19751.0,984.6610383315985,0.25599117715791403,0.35885599171261,174.0406410686116,162.44830534539363,25791.0,0.7658097786049397,158.580434631969,88.61633597686627,116.34222319926408,0.0012491261925376808,1.1306291659160671e-08,3.871751631847755e-12,3.8990984219028255e-12,8.171654826121693e-24,3.636293811206769e-16,1.2756694291518549e-23,7.959020706984827,1.7950068490834925,0.5051069512838443,0.05531136911981851,0.9975821179914958,0.003083143306950597,94.12653573670522,30.74071536983797,58.73491166711506,32.991241275778464,45.221992,3.2619514,9.694522,3.7457173,156.98684721848565,0.2355,1
19732.0,985.2468247692254,0.25544089994735286,0.3600406980203467,173.96338601469702,162.2968095140367,25657.0,0.7690688700939314,158.5041409450057,91.69934957341144,112.26256212776141,0.0012583868579449813,1.744243578628228e-08,4.208528397062557e-12,3.729537269380076e-12,1.1279541810091648e-23,4.739208505991541e-16,9.544251549097136e-24,7.94974462345653,1.7964307227408853,0.5038070351933394,0.054927328256793057,0.9975847446367901,0.0030415585115974118,93.90388007054673,31.057295293988734,58.88320257860488,32.99022114796456,45.250637,3.29158,9.656113,3.7197263,156.09964726631392,0.2339,1
19749.0,974.9036790187179,0.26111456547813505,0.3569562187740552,174.0303880892151,162.56546020208032,25711.0,0.7681148146707635,158.5724054461391,90.43577154098081,111.81973961021713,0.0012532778606026758,1.3201641327111812e-08,3.798603405203253e-12,3.5548309401158297e-12,8.585652758513579e-24,3.7882397309850624e-16,9.845128391107362e-24,7.983934021789429,1.7976346382673034,0.5050742812129463,0.05484362534049069,0.9975762202724969,0.0030327575941795823,94.40545334295334,31.08937732148977,58.719396344396344,32.76200805264189,45.247902,3.254411,9.7665415,3.666701,156.59878547378548,0.2305,1
12225.0,613.0609665440988,0.4087429218897243,0.5796559069154835,148.41151908000288,120.93481169045647,14254.0,0.8576539918619335,124.76118560829472,35.8351893845611,107.5055681536833,0.0013487784881572199,1.7195463867593983e-07,1.9084777185277664e-11,1.2100004207316377e-11,-4.862670236101934e-23,4.377132104814959e-15,1.773283001692374e-22,10.724372100355806,2.2016945933366427,0.4341653429279816,0.053755098600320766,0.9974032825734149,0.002909136234608124,82.86330383480826,32.8136099137896,64.0010029498525,39.23426726227547,46.387627,3.291608,9.897219,3.4708037,146.0083185840708,0.2181,1
16486.0,757.1147904132611,0.3614106459458758,0.261526678912239,155.4876482735568,150.07609464857703,19915.0,0.8278182274667336,144.88142439424004,68.67974408970292,108.3220080440884,0.0013454800852814898,4.964879949628773e-09,2.013184318478807e-12,2.1915586817274406e-12,3.424924916381895e-24,-1.0553941677972588e-16,3.075787647041555e-24,11.959814497845414,2.5506206176898996,0.34625945775362993,0.030578554965995007,0.9950088101261525,0.0009429390179102523,86.68004597701149,32.954383267626326,62.17554022988506,37.98785152899031,46.38581,3.4285777,9.550013,3.4936895,143.62206896551723,0.2196,1
19731.0,977.1757569573599,0.25966483411924196,0.3614509633836346,173.9709338836905,162.20895392990093,25584.0,0.7712242026266416,158.50012447051736,91.9023970026918,115.92115501530743,0.0012583902338491244,1.744076419773029e-08,4.214246373545193e-12,3.730484281317494e-12,1.1293625384811085e-23,4.740591214270442e-16,-9.551859979113998e-24,7.937266069428218,1.7915712026959527,0.5060527571948147,0.05539196290088011,0.9975883939644756,0.0030930288825672873,93.81299033023171,31.10535851232235,58.88821991120842,33.052175454397066,45.261192,3.2959008,9.627542,3.7211308,156.10229276895944,0.234,1
19756.0,979.6610383315985,0.2586763691718869,0.3546365043112165,173.91401709226477,162.61034532898694,25706.0,0.7685365284369408,158.60050581819678,77.42402021815782,115.86027216768288,0.0012553511004635273,1.528891297339576e-08,4.027315607170119e-12,3.653695157747089e-12,8.485891456884246e-24,4.0994944402042713e-16,-1.1154452338632055e-23,8.006872069021806,1.7994942235169582,0.5035920977649737,0.054464360058365024,0.9975694183318413,0.002990792840471308,94.35706727135299,31.191416457668065,58.700589569161,32.86571957925054,45.268147,3.2527103,9.760199,3.669543,156.3824036281179,0.2307,1
19750.0,983.1046891454944,0.2567893331519619,0.35813771904052116,173.96782700186935,162.4283272545801,25685.0,0.7689312828499124,158.5764200898717,61.82084906716632,116.46091790966038,0.0012521575363408195,1.3071791090463963e-08,4.044940635004318e-12,3.9714199790585205e-12,1.0569676460624123e-23,4.23892049935354e-16,-1.1901625017107404e-23,7.975774978842971,1.7957634093169568,0.5055138559637528,0.05499793754162383,0.997578335066432,0.0030489716260227243,94.2155784030784,31.155915168746855,58.842171717171716,33.00089885809741,45.23004,3.2766378,9.661242,3.756355,156.71161014911016,0.2361,1
19097.0,723.1097397793778,0.4589504067818315,0.5502284594405369,175.76706233460573,146.76798538698864,22166.0,0.8615447081115222,155.93285601760587,72.75172319452771,117.27262351196194,0.0015146050134256855,1.636725989338004e-09,7.745628848161449e-13,4.790496746668424e-12,2.3290996782900518e-24,1.1775791824744134e-16,-8.929052398997112e-24,11.663231271840587,1.8669612321691686,0.5735532733066502,0.09784666934912825,0.9978234705949177,0.009604047902987202,84.9226322511259,30.592732831924295,75.88388115883579,32.58506471491331,46.65743,2.3135884,10.081874,4.0377965,140.15436579955636,0.2537,1
